1,74,1,84,95,3,32,84,25,46,91,86,91,91,44,72,61,73,86,75,88,93,23,7,22,96,88,43,13,38,34,22,16,49,11,45,85,40,97,89,26,57,15,32,82,62,61,24,88,86,18,87,68,65,60,14,82,39,3,86,96,47,94,40,93,91,4,97,85,23,100,34,63,69,36,5,34,10,4,85,16,64,46,34,98,32,50,39,87,64,98,51,70,91,17,85,40,19,79,18
99,30,39,25,23,75,82,16,19,14,19,21,18,16,3,28,51,11,24,58,80,72,55,32,48,27,53,52,58,59,82,99,41,74,28,8,2,66,62,93,86,62,76,76,36,44,24,5,8,55,16,37,54,47,78,71,17,36,52,38,31,10,15,51,33,1,28,98,45,72,6,35,89,64,15,95,26,69,18,87,60,54,96,57,44,37,39,70,23,27,48,54,51,69,23,9,88,44,5,65
66,33,50,17,1,48,35,65,59,31,45,83,87,54,92,84,27,85,25,37,32,70,90,71,64,38,29,35,94,77,21,96,13,20,99,42,74,56,5,90,32,61,84,23,33,89,20,43,82,52,67,27,91,24,60,20,92,49,13,67,36,64,85,6,76,11,92,8,82,38,28,79,15,24,44,47,14,93,43,68,88,58,45,8,12,38,73,18,35,19,82,23,90,86,100,90,49,84,47,44
20,99,72,18,6,59,70,66,17,70,55,21,13,3,9,19,40,74,33,59,83,91,30,57,8,25,30,45,31,5,88,35,72,23,54,96,24,87,63,58,35,20,99,30,69,74,67,57,17,1,58,11,56,62,59,63,50,4,50,90,93,27,54,66,82,77,79,93,28,8,83,80,31,18,100,57,82,40,43,67,79,38,6,80,55,62,27,66,85,56,16,10,9,48,2,36,71,31,10,52
37,91,16,60,3,34,35,93,51,34,80,94,83,18,18,17,49,20,50,92,50,14,25,59,75,79,45,90,60,43,17,7,52,69,97,76,25,47,35,94,84,1,87,37,85,21,48,65,39,4,79,35,54,7,64,68,6,11,97,88,24,42,24,38,7,53,95,40,49,60,25,98,49,72,19,35,10,26,72,28,68,48,7,61,59,85,19,35,53,87,24,94,25,57,70,69,27,78,73,19
88,66,30,30,71,37,17,75,12,40,16,71,39,9,20,30,80,54,31,85,51,2,56,85,93,83,93,9,72,84,53,68,41,81,23,18,8,22,1,67,73,12,39,13,91,30,41,34,94,26,15,40,16,91,10,89,63,95,63,13,27,24,95,30,4,48,44,10,58,67,38,99,60,99,5,65,16,20,26,29,24,36,11,92,26,48,95,47,79,31,41,43,72,19,44,47,69,8,35,51
94,19,70,75,99,38,19,72,84,23,96,10,52,43,100,18,87,91,86,77,56,92,71,86,6,39,86,59,25,31,96,63,32,11,53,68,49,13,20,4,49,99,95,79,78,99,63,55,48,98,54,92,79,16,55,16,93,96,91,99,40,39,87,89,72,37,83,29,23,90,70,82,40,9,16,25,83,48,29,24,66,25,26,47,36,63,40,63,59,78,94,50,13,80,52,58,29,83,73,48
26,55,48,24,30,38,31,84,29,20,53,4,76,40,70,80,70,2,31,5,72,15,51,33,51,27,49,78,80,14,97,58,32,77,50,6,12,54,66,57,81,83,57,95,56,28,52,98,53,68,2,50,13,90,34,26,98,93,28,36,91,2,34,28,80,77,49,78,14,67,73,87,70,66,61,4,95,37,11,5,2,14,43,97,2,82,29,63,88,91,29,48,38,100,26,45,76,55,24,18
45,31,15,99,83,89,54,94,15,13,50,53,79,72,23,95,75,33,15,76,36,30,70,99,83,94,52,94,20,81,80,53,86,14,48,6,91,38,27,77,37,64,25,52,91,40,18,83,25,37,11,75,32,86,31,31,72,73,84,11,34,11,31,67,19,67,71,46,10,1,12,39,1,11,6,79,61,43,61,50,91,56,12,52,3,74,54,11,27,86,43,86,80,21,95,98,87,38,91,55
2,64,29,96,49,70,4,78,26,1,90,98,3,86,45,85,88,63,97,99,64,76,7,6,80,90,68,76,10,76,82,70,58,41,94,78,82,100,37,70,14,43,79,78,99,60,20,43,48,32,48,42,34,96,32,48,34,96,51,93,93,63,59,53,9,38,28,76,28,37,64,25,62,46,14,29,31,87,70,47,5,84,30,91,29,83,67,61,2,61,18,10,86,73,91,67,93,57,49,97
44,25,17,24,21,46,65,20,26,6,2,37,83,95,13,20,59,72,57,59,92,58,53,26,23,87,52,93,84,34,27,37,2,9,91,41,85,4,1,1,72,11,50,63,47,92,75,72,42,91,51,71,34,8,42,15,9,62,39,60,64,7,57,39,66,28,18,50,71,40,31,75,3,85,50,13,36,10,36,78,61,25,98,5,28,25,34,39,78,99,63,92,89,21,26,83,41,49,96,47
41,38,33,86,32,61,66,73,2,33,17,51,8,27,83,22,39,76,98,73,56,76,49,73,62,45,32,82,82,66,76,99,89,20,6,96,37,39,48,74,94,100,48,47,54,98,20,76,48,59,49,75,59,48,100,64,74,66,18,78,47,93,39,73,100,51,82,31,47,37,9,88,51,40,97,93,73,81,18,15,72,32,67,42,69,27,94,27,1,87,50,70,99,22,53,17,65,19,27,20
79,89,9,36,2,32,60,93,47,35,19,69,64,98,92,4,28,4,17,6,66,6,35,52,100,12,84,100,82,58,15,83,97,94,5,49,27,10,68,84,27,47,31,78,67,54,69,66,44,63,66,99,99,63,96,25,45,58,55,84,70,44,57,56,13,49,45,50,94,2,55,36,38,66,65,36,41,73,64,23,60,99,88,27,32,84,6,95,77,13,57,73,3,66,2,56,66,84,24,52
90,61,29,56,9,57,4,87,43,26,60,70,52,45,63,94,89,41,60,26,54,46,24,66,91,29,13,21,44,95,75,57,72,33,43,31,58,11,100,68,69,53,63,32,68,49,48,99,91,90,26,19,95,45,17,99,30,55,6,68,91,33,61,86,69,76,40,2,94,2,61,83,5,2,8,77,48,70,14,34,6,2,23,70,88,41,9,46,99,17,93,23,29,50,85,99,68,88,51,11
89,45,41,56,24,44,63,7,93,19,17,14,34,64,75,61,38,37,19,52,23,12,97,21,75,80,93,53,81,47,66,7,48,46,63,28,62,27,2,93,84,55,58,95,20,85,24,88,86,90,69,98,44,35,57,82,51,90,53,44,5,36,47,74,42,36,97,19,66,66,60,40,28,75,89,75,98,93,79,28,41,46,33,4,17,53,71,3,81,55,39,74,24,37,89,8,53,82,31,29
62,79,47,3,31,89,48,51,32,49,15,75,2,5,46,61,78,16,68,91,83,92,19,8,2,3,88,87,7,78,100,33,58,30,54,8,21,29,39,77,70,29,57,94,33,43,100,80,43,90,78,13,97,70,4,48,18,49,27,23,78,15,17,44,28,27,57,91,58,67,21,60,1,33,37,67,63,53,90,84,81,51,67,68,54,67,74,54,65,64,87,72,22,92,48,57,31,73,47,73
2,27,18,57,3,56,94,16,27,25,66,58,12,26,7,100,18,66,22,55,33,33,60,73,41,57,59,94,41,52,96,4,11,77,61,36,91,41,65,44,46,72,55,12,2,46,31,14,89,64,8,87,80,3,21,60,45,99,80,8,81,72,83,56,32,29,72,27,50,71,5,63,8,81,79,72,98,79,76,79,32,55,24,41,45,54,83,94,51,78,37,9,24,50,89,54,69,57,8,94
21,38,41,75,27,8,63,76,7,38,33,92,78,94,40,40,70,55,12,90,16,78,10,33,84,28,44,39,71,19,16,98,33,97,92,28,12,100,47,3,59,56,53,73,31,49,60,29,98,27,11,82,6,75,35,13,60,68,98,36,33,48,62,99,37,76,5,93,80,51,84,73,36,29,41,84,86,23,85,65,76,38,64,76,18,40,81,20,2,52,7,89,9,6,65,94,66,62,10,12
96,38,85,35,89,78,87,72,47,46,25,71,86,61,10,50,34,12,84,68,95,79,10,37,64,20,66,84,69,54,100,44,70,8,96,41,89,17,53,55,91,92,48,8,86,19,46,22,89,8,39,85,16,98,26,27,92,85,26,81,58,11,11,42,11,68,66,49,22,15,19,89,19,63,73,92,97,20,59,37,58,11,73,70,92,63,74,97,58,1,83,63,34,33,30,20,41,44,59,16
67,74,31,28,66,24,14,30,62,36,67,91,87,93,62,83,28,32,44,65,90,6,89,81,16,32,90,46,48,18,10,60,59,45,63,22,92,76,22,65,34,50,47,39,65,17,29,85,16,91,52,47,8,46,41,16,51,41,49,23,7,75,31,92,42,27,10,27,11,10,57,34,56,89,70,21,68,20,10,71,100,4,62,57,27,97,90,8,93,34,46,17,44,22,32,30,54,35,2,15
63,81,8,90,40,74,96,34,84,41,62,80,23,18,6,15,5,80,6,6,94,44,41,92,87,34,13,75,91,14,88,87,57,11,6,96,3,100,95,81,65,86,44,15,65,25,57,77,40,67,21,17,90,78,37,97,100,78,83,57,91,32,65,47,52,65,57,48,83,36,52,4,61,85,25,72,2,52,86,25,12,4,78,22,13,22,25,5,78,39,11,21,57,67,35,59,79,93,24,69
